customer_id,annual_income,employment_years,credit_score,existing_loans,loan_amount,loan_tenure_months,monthly_expenses,employment_type,education_level,loan_purpose,property_ownership,loan_approved
CUST0225,1604945,7,612,3,1208866,84,46827,Salaried,High School,Business,0,0
CUST0226,1571538,10,712,2,1031598,120,86287,Government,Bachelor,Personal,1,1
CUST0227,900488,10,696,4,4092974,84,48019,Self-Employed,Master,Home,1,1
CUST0228,776387,10,723,4,855896,24,46289,Salaried,Master,Vehicle,0,1
CUST0229,599065,2,612,1,1009540,84,16014,Self-Employed,High School,Home,0,0
CUST0230,211585,4,767,0,2271132,48,5493,Salaried,Master,Home,0,1
CUST0231,1643807,15,642,2,3238027,60,66643,Self-Employed,Bachelor,Education,0,0
CUST0232,1796449,6,734,4,791165,12,56048,Government,High School,Home,0,1
CUST0233,469102,9,616,1,81541,24,22641,Salaried,Master,Vehicle,0,0
CUST0234,1516737,13,891,0,525759,48,95892,Government,Master,Business,0,1
CUST0235,2158281,10,735,2,2894510,120,89162,Self-Employed,Bachelor,Home,0,1
CUST0236,1270805,10,900,2,4373492,48,76510,Salaried,Bachelor,Home,1,1
CUST0237,429474,12,746,4,258150,48,10741,Self-Employed,Master,Business,0,1
CUST0238,440116,0,635,2,2623338,12,14093,Self-Employed,Master,Vehicle,0,0
CUST0239,2072064,5,746,1,1908777,36,54428,Salaried,Master,Education,0,1
CUST0240,199975,10,752,2,530620,84,7733,Salaried,Bachelor,Business,1,1
CUST0241,337795,14,709,3,4788748,84,21227,Salaried,PhD,Vehicle,1,1
CUST0242,1437949,8,730,1,4985500,120,41757,Salaried,PhD,Business,1,1
CUST0243,1204939,3,740,0,4913099,60,60568,Salaried,High School,Home,0,1
CUST0244,1523862,3,600,0,4969314,120,66763,Salaried,Master,Business,1,1
CUST0245,568076,12,594,4,1172207,36,36415,Salaried,Bachelor,Business,1,0
CUST0246,870493,6,616,4,874341,84,26206,Business,Bachelor,Vehicle,0,0
CUST0247,802605,7,690,3,2740927,60,27155,Salaried,Bachelor,Business,1,1
CUST0248,905495,11,662,0,3086124,120,23751,Government,High School,Personal,1,1
CUST0249,1525766,0,601,0,2632977,60,65730,Self-Employed,Bachelor,Home,1,0
CUST0250,2378611,18,742,0,4554103,48,87000,Government,Master,Personal,1,1
CUST0251,941985,4,702,0,477557,24,57692,Salaried,Bachelor,Business,1,1
CUST0252,2477574,9,693,2,1865599,48,124388,Business,Bachelor,Vehicle,0,1
CUST0253,2060901,0,659,1,3247514,12,104255,Self-Employed,PhD,Home,1,1
CUST0254,2140826,5,649,1,2215456,84,100967,Government,Bachelor,Education,0,1
CUST0255,1558369,14,612,3,415750,60,44923,Salaried,Bachelor,Vehicle,1,0
CUST0256,2270212,0,754,2,534103,120,98850,Salaried,Bachelor,Vehicle,0,1
CUST0257,1216548,13,623,0,2202259,24,81078,Self-Employed,Bachelor,Home,1,1
CUST0258,2421984,6,696,0,2669210,120,144837,Salaried,Bachelor,Business,0,1
CUST0259,332999,10,812,4,3440919,84,20721,Self-Employed,Master,Home,0,0
CUST0260,528619,11,653,4,1755096,60,31347,Salaried,Bachelor,Personal,0,1
CUST0261,241367,10,756,3,4505237,60,7070,Self-Employed,Master,Personal,0,0
CUST0262,933315,3,725,0,2429220,48,32177,Business,Bachelor,Home,1,1
CUST0263,585804,6,704,3,3569065,24,14721,Self-Employed,Bachelor,Personal,0,0
CUST0264,1464382,0,714,2,1834210,24,55128,Government,Master,Personal,1,1
CUST0265,1273314,10,672,1,2513501,84,37594,Self-Employed,Master,Education,0,1
CUST0266,1222377,16,682,0,1794919,60,54639,Self-Employed,Bachelor,Vehicle,0,1
CUST0267,2479484,0,636,2,1078719,24,131942,Business,High School,Education,0,0
CUST0268,562729,4,683,0,1636987,24,34572,Government,High School,Vehicle,0,1
CUST0269,2091627,7,633,4,2869127,120,117585,Government,Bachelor,Education,1,0
CUST0270,1248392,8,760,3,1982919,84,80031,Salaried,Bachelor,Education,1,1
CUST0271,1139744,12,544,4,2199151,48,31053,Self-Employed,Master,Education,0,0
CUST0272,1103780,7,718,1,1916161,120,28154,Salaried,High School,Home,1,1
CUST0273,1645291,6,706,4,313356,120,86469,Salaried,Master,Vehicle,0,1
CUST0274,393567,13,699,0,1177360,36,14584,Self-Employed,Bachelor,Education,0,1
CUST0275,2122811,11,761,4,393288,12,75492,Government,Bachelor,Education,1,1
CUST0276,2493336,10,657,0,2052507,36,96708,Government,Bachelor,Personal,0,1
CUST0277,478090,8,700,1,2702808,24,17326,Salaried,Bachelor,Business,1,1
CUST0278,497348,12,542,4,3921907,60,23032,Salaried,Master,Business,1,0
CUST0279,1411534,4,646,3,2828366,12,61175,Government,High School,Personal,1,0
CUST0280,1506283,4,748,3,4827376,12,69818,Salaried,Bachelor,Personal,1,1
CUST0281,272324,11,572,3,2538489,60,14441,Self-Employed,Master,Home,0,0
CUST0282,1985808,0,692,4,1460364,12,81677,Salaried,Bachelor,Business,0,0
CUST0283,1500567,8,625,4,1408293,60,53226,Salaried,Bachelor,Personal,0,0
CUST0284,206155,6,671,4,1961128,12,6581,Business,Bachelor,Education,0,0
CUST0285,521815,0,630,0,3734796,120,20643,Salaried,Master,Education,1,0
CUST0286,1869755,3,580,1,4806497,84,104535,Salaried,PhD,Home,1,1
CUST0287,640494,7,710,3,3836065,84,36206,Salaried,Master,Home,1,1
CUST0288,2426533,13,676,0,4898243,36,128091,Business,Bachelor,Vehicle,1,1
CUST0289,214707,4,729,3,3753375,120,7461,Government,PhD,Vehicle,0,0
CUST0290,1117841,14,743,0,2475358,12,55337,Salaried,High School,Personal,1,1
CUST0291,1747053,8,778,4,3793407,48,85219,Salaried,High School,Vehicle,1,1
CUST0292,2096545,14,690,3,4343900,60,94717,Self-Employed,Master,Home,1,1
CUST0293,533299,4,781,4,3967430,120,25553,Salaried,High School,Home,0,1
CUST0294,1387068,7,601,3,3028602,12,63099,Self-Employed,High School,Personal,1,0
CUST0295,1702688,9,752,2,1901579,84,82683,Salaried,Bachelor,Education,0,1
CUST0296,350102,7,716,0,724502,84,19190,Salaried,Bachelor,Education,1,1
CUST0297,574274,12,698,2,2155777,60,16980,Self-Employed,Master,Personal,1,1
CUST0298,397285,0,715,0,3578597,48,22341,Salaried,Bachelor,Business,0,0
CUST0299,1566980,20,603,1,4653446,12,48046,Government,Bachelor,Home,1,1
CUST0300,1388052,12,584,3,2440514,12,38554,Salaried,Bachelor,Personal,1,0
CUST0301,1893136,7,816,1,1221758,48,124322,Salaried,PhD,Personal,0,1
CUST0302,1477076,5,666,1,3740582,48,95824,Business,Master,Home,1,1
CUST0303,1918993,3,665,0,2176869,48,52807,Salaried,Bachelor,Personal,1,1
CUST0304,1360887,11,591,2,3901072,84,59156,Government,PhD,Education,1,1
CUST0305,1987610,12,561,4,992639,60,65114,Salaried,Master,Business,1,0
CUST0306,425546,7,672,0,1041993,120,19244,Self-Employed,High School,Personal,1,1
CUST0307,2104401,13,652,4,1560902,48,125402,Government,High School,Personal,1,1
CUST0308,2076220,3,680,1,2498966,60,134142,Salaried,High School,Home,0,1
CUST0309,326470,2,686,4,3546610,36,16789,Government,Master,Home,0,0
CUST0310,1547223,17,879,2,2799580,12,61496,Self-Employed,High School,Home,1,1
CUST0311,1235146,10,652,0,4346841,12,61928,Salaried,Bachelor,Business,1,1
CUST0312,259141,14,806,2,1869201,24,9847,Self-Employed,High School,Home,1,1
CUST0313,192115,3,811,2,1330280,36,12085,Self-Employed,PhD,Education,1,1
CUST0314,1523276,3,740,0,2900310,120,93326,Salaried,Bachelor,Home,1,1
CUST0315,1754833,6,661,2,4065789,48,84687,Salaried,PhD,Education,0,1
CUST0316,2228891,3,571,3,641058,48,85886,Salaried,PhD,Home,1,1
CUST0317,1350439,11,718,3,3777661,120,50269,Salaried,High School,Vehicle,0,1
CUST0318,976657,4,761,3,1726373,84,25776,Government,Bachelor,Home,1,1
CUST0319,827296,2,819,4,1329372,36,48804,Self-Employed,High School,Education,1,1
CUST0320,1729302,8,604,2,4145228,48,75684,Business,PhD,Personal,1,1
CUST0321,1858687,1,660,0,498402,24,71647,Salaried,Bachelor,Vehicle,0,1
CUST0322,980101,0,604,0,2499851,60,43741,Salaried,High School,Home,1,0
CUST0323,2139406,8,629,4,331833,12,126469,Government,High School,Home,1,1
CUST0324,1863541,0,733,0,1585834,36,56264,Self-Employed,Bachelor,Vehicle,1,1
CUST0325,1999822,11,625,3,2492547,12,121460,Self-Employed,PhD,Education,0,0
CUST0326,1224257,1,614,2,1286968,60,76388,Salaried,Master,Vehicle,1,0
CUST0327,2325472,0,743,0,3128882,36,149867,Salaried,Master,Education,1,1
CUST0328,1144918,6,716,0,1810027,60,47585,Salaried,Bachelor,Education,1,1
CUST0329,676758,8,708,1,1571093,48,23041,Business,High School,Business,1,1
CUST0330,1375225,10,627,1,2038022,120,55790,Salaried,PhD,Vehicle,0,1
CUST0331,1353930,8,783,1,4480806,48,52629,Government,High School,Personal,0,1
CUST0332,628625,2,681,2,3102687,120,20329,Self-Employed,PhD,Home,1,1
CUST0333,208625,11,870,3,72551,48,10494,Salaried,Bachelor,Business,0,1
CUST0334,1687630,12,692,3,3243796,60,75705,Self-Employed,High School,Home,1,1
